brand,model,peak power STC,peak power NOCT,NOTC,alfa p,efficiency,length,width
jinco,JKM465M-7RL3-BDVP,465,346,45,-0.35,20.43,2205,1032
jinco,JKM465M-7RL3-V,465,346,45,-0.35,20.71,2182,1029
Jasolar,JAM72S20-465/MR,465,352,45,-0.35,20.8,2120,1052
TALLMAX/Trina,TSM-DE17M-460,460,347,43,-0.34,21,2102,1040
HI-MO/Longi,LR4-72PH-460M,460,343.5,45,-0.35,21.2,2094,1038
